Course Code,Crosslisting,Course Title,Session,Credit,Class Time,Instructor
SS 1302 LEC 1,,"Sur, Tal aur Rag: Foundations of South Asian Music",16W,4,TTh 10:00a-11:50a,Sadaf Habib
SS 1303 LEC 1,,Introduction to Kathak,16W,4,TTh 1:00p-2:50p,
SS 187 LEC 1,,Applied Statistics for Humanities,16W,4,MW 12:00p-1:50p,Muhammad Saad Imtiaz
SS 187 LEC 2,,Applied Statistics for Humanities,16W,4,TTh 12:00p-1:50p,Muhammad Salaar Arif Khan
SS 233 LEC 1,,Media Writing,16W,4,TTh 8:00a-9:50a,Syed Javed Nazir
SS 3302 LEC 1,,Professional Communication Skills,16W,4,MW 3:00p-4:50p,Aamna Khalid
SSE 101 LEC 1,,First Year Tutorial,16W,0.5,F 10:00a-12:50p,
SSE 101 LEC 2,,First Year Tutorial,16W,0.5,F 10:00a-12:50p,
SSE 101 LEC 3,,First Year Tutorial,16W,0.5,F 10:00a-12:50p,
SSE 101 LEC 4,,First Year Tutorial,16W,0.5,F 10:00a-12:50p,
SSE 101 LEC 5,,First Year Tutorial,16W,0.5,F 10:00a-12:50p,
SSE 101 LEC 6,,First Year Tutorial,16W,0.5,F 10:00a-12:50p,
SSE 101 LEC 7,,First Year Tutorial,16W,0.5,F 10:00a-12:50p,
SSE 101 LEC 8,,First Year Tutorial,16W,0.5,F 10:00a-12:50p,
SSE 101 LEC 9,,First Year Tutorial,16W,0.5,F 10:00a-12:50p,
SSE 101 LEC 10,,First Year Tutorial,16W,0.5,F 10:00a-12:50p,
SSE 101 LEC 11,,First Year Tutorial,16W,0.5,F 10:00a-12:50p,
SSE 101 LEC 12,,First Year Tutorial,16W,0.5,F 10:00a-12:50p,
SSE 101 LEC 13,,First Year Tutorial,16W,0.5,F 10:00a-12:50p,
SSE 101 LEC 14,,First Year Tutorial,16W,0.5,F 10:00a-12:50p,
SSE 101 LEC 15,,First Year Tutorial,16W,0.5,F 10:00a-12:50p,
SSE 101 LEC 16,,First Year Tutorial,16W,0.5,F 10:00a-12:50p,
SSE 101 LEC 17,,First Year Tutorial,16W,0.5,F 10:00a-12:50p,
SSE 101 LEC 18,,First Year Tutorial,16W,0.5,F 10:00a-12:50p,
SSE 101 LEC 19,,First Year Tutorial,16W,0.5,F 10:00a-12:50p,
SSE 101 LEC 20,,First Year Tutorial,16W,0.5,F 10:00a-12:50p,
SSE 101 LEC 21,,First Year Tutorial,16W,0.5,F 10:00a-12:50p,
SSE 101 LEC 22,,First Year Tutorial,16W,0.5,F 10:00a-12:50p,
SSE 101 LEC 23,,First Year Tutorial,16W,0.5,F 10:00a-12:50p,
SSE 101 LEC 24,,First Year Tutorial,16W,0.5,F 10:00a-12:50p,
SWR 102 PRT 1,,Swimming for Beginners,16W,1,TTh 10:00a-11:15a,"Muhammad Haider Awan
Amir Hussain"
SWR 102 PRT 2,,Swimming for Beginners,16W,1,MW 10:00a-11:15a,"Khalida Bashir
Rabia Yasin"
SWR 102 PRT 3,,Swimming for Beginners,16W,1,TTh 2:00p-3:15p,"Rashid Ahmad
Azmat Ullah"
SWR 102 PRT 4,,Swimming for Beginners,16W,1,MW 2:00p-3:15p,"Kausar Farooq
Nimra Nimra"
SWR 102 PRT 5,,Swimming for Beginners,16W,1,TTh 12:00p-1:15p,"Khalida Bashir
Rabia Yasin"
SWR 102 PRT 6,,Swimming for Beginners,16W,1,MW 12:00p-1:15p,"Muhammad Haider Awan
Amir Hussain"
SWR 102 PRT 7,,Swimming for Beginners,16W,1,TTh 4:00p-5:15p,"Kausar Farooq
Nimra Nimra"
SWR 102 PRT 8,,Swimming for Beginners,16W,1,MW 4:00p-5:15p,"Rashid Ahmad
Azmat Ullah"
SWR 103 PRT 1,,Strength Training and Conditioning for Beginners,16W,1,MW 10:00a-11:15a,Muhammad Bilal Iqbal Khan
SWR 103 PRT 2,,Strength Training and Conditioning for Beginners,16W,1,TTh 10:00a-11:15a,Muhammad Bilal Iqbal Khan
SWR 103 PRT 3,,Strength Training and Conditioning for Beginners,16W,1,MW 2:00p-3:15p,Mudassar Naseer
SWR 103 PRT 4,,Strength Training and Conditioning for Beginners,16W,1,TTh 2:00p-3:15p,Mudassar Naseer
SWR 103 PRT 5,,Strength Training and Conditioning for Beginners,16W,1,TTh 4:00p-5:15p,Muhammad Shakeel
SWR 103 PRT 6,,Strength Training and Conditioning for Beginners,16W,1,MW 4:00p-5:15p,Muhammad Shakeel
SWR 103 PRT 7,,Strength Training and Conditioning for Beginners,16W,1,MW 10:00a-11:15a,Kanwal Yousaf
SWR 103 PRT 8,,Strength Training and Conditioning for Beginners,16W,1,TTh 10:00a-11:15a,Kanwal Yousaf
SWR 103 PRT 9,,Strength Training and Conditioning for Beginners,16W,1,MW 11:30a-12:45p,Aruba Naz
SWR 103 PRT 10,,Strength Training and Conditioning for Beginners,16W,1,TTh 11:30a-12:45p,Aruba Naz
SWR 103 PRT 11,,Strength Training and Conditioning for Beginners,16W,1,MW 4:00p-5:15p,Shabana Kausar
SWR 103 PRT 12,,Strength Training and Conditioning for Beginners,16W,1,TTh 4:00p-5:15p,Shabana Kausar
SWR 104 PRT 1,,Basketball for beginners,16W,1,MW 3:30p-4:45p,Mohsin Riaz
SWR 104 PRT 2,,Basketball for beginners,16W,1,MW 5:00p-6:15p,Mohsin Riaz
SWR 104 PRT 3,,Basketball for beginners,16W,1,TTh 3:30p-4:45p,Mohsin Riaz
SWR 104 PRT 4,,Basketball for beginners,16W,1,TTh 5:00p-6:15p,Mohsin Riaz
SWR 105 PRT 1,,"Walk, Jog and Stretch for Fitness",16W,1,MW 3:30p-4:45p,Babar Asad Khan
SWR 105 PRT 2,,"Walk, Jog and Stretch for Fitness",16W,1,MW 5:00p-6:15p,Babar Asad Khan
SWR 105 PRT 3,,"Walk, Jog and Stretch for Fitness",16W,1,TTh 3:30p-4:45p,Babar Asad Khan
SWR 105 PRT 4,,"Walk, Jog and Stretch for Fitness",16W,1,TTh 5:00p-6:15p,Babar Asad Khan
